移动专网,#genre#
CCTV2-财经,http://111.8.224.6:9902/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://111.8.224.6:9902/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://111.8.224.6:9902/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://111.8.224.6:9902/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://111.8.224.6:9902/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://111.8.224.6:9902/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://111.8.224.6:9902/tsfile/live/1073_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://111.8.224.6:9902/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://111.8.224.6:9902/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://111.8.224.6:9902/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://111.8.224.6:9902/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://111.8.224.6:9902/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://111.8.224.6:9902/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://111.8.224.6:9902/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://111.8.224.6:9902/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://111.8.224.6:9902/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0

河南卫视,http://111.8.224.6:9902/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://111.8.224.6:9902/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://111.8.224.6:9902/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
