广东银河,#genre#
炫动卡通,http://58.248.112.203:8006/GD_CUCC/G_XUANDONG.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQiBc2h6d7vOOnZzd0%2BaZ13CkZKT1aJqQtQitEjomIG%2B6&p=GITV&area=GD_CUCC&gMac=
优漫卡通,http://58.248.112.203:8006/GD_CUCC/G_YOUMAN.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQqATYXxNNuErsXdLBBprnRoxftOEuDEh46K5CPLT9El7&p=GITV&area=GD_CUCC&gMac=
中华美食,http://58.248.112.203:8006/GD_CUCC/G_ZHONGHUAMS.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQl3PU3p0Usv8FjOEENDSW4zUSDOaiaG5q3bH%2B9SZ8YzW&p=GITV&area=GD_CUCC&gMac=
天元围棋,http://58.248.112.203:8006/GD_CUCC/G_TIANYUANWQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQihOv%2BYcLGXjIDOSPvEdjQHUSDOaiaG5q3bH%2B9SZ8YzW&p=GITV&area=GD_CUCC&gMac=
早期教育,http://58.248.112.203:8006/GD_CUCC/G_CETV-ZQJY-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQpgEcPJzku%2FK%2BhOejG8m3LIacwVhEfitjiQgne%2FQ8fyt&p=GITV&area=GD_CUCC&gMac=
国学,http://58.248.112.203:8006/GD_CUCC/G_GUOXUE.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQjP11JGpp%2FICKmI4SC1C7oUxftOEuDEh46K5CPLT9El7&p=GITV&area=GD_CUCC&gMac=
山东教育电视台,http://58.248.112.203:8006/GD_CUCC/G_SDETV.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQhJqiEyPuVYR1O9L2VKzl9q6Nc3WQ4vM2HWqPt9YRpTT&p=GITV&area=GD_CUCC&gMac=
嘉佳卡通,http://58.248.112.203:8006/GD_CUCC/G_JIAJIA.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQtNx2mdplr%2BGwwR5%2BXU%2BBjQxftOEuDEh46K5CPLT9El7&p=GITV&area=GD_CUCC&gMac=
徐闻综合,http://58.248.112.203:8006/GD_CUCC/zanjiang01.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQnrEfxEXqPnlYWygrYcPJG%2BkZKT1aJqQtQitEjomIG%2B6&p=GITV&area=GD_CUCC&gMac=
梅州综合,http://58.248.112.203:8006/GD_CUCC/meizhou1.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQo98wpJp2Zx2B%2FVVCr%2FlZDoxftOEuDEh46K5CPLT9El7&p=GITV&area=GD_CUCC&gMac=
客家生活,http://58.248.112.203:8006/GD_CUCC/meizhou2.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQp0vKo%2B6g%2BnuYbWPbzrZYSMxftOEuDEh46K5CPLT9El7&p=GITV&area=GD_CUCC&gMac=
阳江-1,http://58.248.112.203:8006/GD_CUCC/yangjiang1.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQvo4RcN7eyh%2BbWemeDyX21KkZKT1aJqQtQitEjomIG%2B6&p=GITV&area=GD_CUCC&gMac=
阳江-2,http://58.248.112.203:8006/GD_CUCC/yangjiang2.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQrrpAzZ%2Byvw7IILmxbgOGbekZKT1aJqQtQitEjomIG%2B6&p=GITV&area=GD_CUCC&gMac=

江苏联通,#genre#
CCTV-1超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-1-CQ.m3u8?Authinfo=vkTWhXPom0wq%2FvNMrj7mo2BLb0rrwawt%2BKr8Vie6E3y6rvgGuN3duXibHsgLqF3e&p=GITV&area=JS_CUCC&gMac=
CCTV-2超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-2-CQ.m3u8?Authinfo=vkTWhXPom0wq%2FvNMrj7moxwU0jNOErWRAUwRk3dAdIy6rvgGuN3duXibHsgLqF3e&p=GITV&area=JS_CUCC&gMac=
CCTV-3超清-8M,http://122.96.52.98:8006/JS_CUCC/G_CCTV-3-CQ.m3u8?Authinfo=vkTWhXPom0wq%2FvNMrj7mowvav1E50p826wi6UIodP1i6rvgGuN3duXibHsgLqF3e&p=GITV&area=JS_CUCC&gMac=
CCTV-4中文国际超清-8M,http://122.96.52.98:8006/JS_CUCC/G_CCTV-4-CQ.m3u8?Authinfo=vkTWhXPom0wq%2FvNMrj7mo2IQJFgjMpiEUPfgneuRkLu6rvgGuN3duXibHsgLqF3e&p=GITV&area=JS_CUCC&gMac=
CCTV-5超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-5-CQ.m3u8?Authinfo=vkTWhXPom0wq%2FvNMrj7mo%2FJdLZcvO%2FtJHJhQqZ0KdfS6rvgGuN3duXibHsgLqF3e&p=GITV&area=JS_CUCC&gMac=
CCTV-5PLUS超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-5PLUS-CQ.m3u8?Authinfo=vkTWhXPom0wq%2FvNMrj7mo54x3ZVhpAE%2BHYVoOre4TuvqdmqDThiQ5%2Bs27tg%2Bkp0q&p=GITV&area=JS_CUCC&gMac=
CCTV-6电影超清-8M,http://122.96.52.98:8006/JS_CUCC/G_CCTV-6-CQ.m3u8?Authinfo=vkTWhXPom0wq%2FvNMrj7mo7t92Syh6TL22vrmGFbOxS66rvgGuN3duXibHsgLqF3e&p=GITV&area=JS_CUCC&gMac=
CCTV-7超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-7-HQ.m3u8?Authinfo=vkTWhXPom0wq%2FvNMrj7mo%2FGzSK7V82prXs8gic5PDT66rvgGuN3duXibHsgLqF3e&p=GITV&area=JS_CUCC&gMac=
